movie_name,release_year,imdb,meta,votes
Inception,2010,8.8,74        ,"2,336,142"
Shutter Island,2010,8.2,63        ,"1,305,035"
Blue Valentine,2010,7.3,81        ,"198,467"
Black Swan,2010,8,79        ,"765,819"
Kick-Ass,2010,7.6,66        ,"563,552"
The Social Network,2010,7.8,95        ,"701,614"
Remember Me,2010,7.1,40        ,"148,357"
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65        ,"547,312"
The Town,2010,7.5,74        ,"391,483"
Grown Ups,2010,5.9,30        ,"253,509"
Scott Pilgrim vs. the World,2010,7.5,69        ,"426,532"
Robin Hood,2010,6.6,53        ,"270,725"
Tangled,2010,7.7,71        ,"453,401"
Legion,2010,5.2,32        ,"106,005"
Love & Other Drugs,2010,6.7,55        ,"205,409"
Alice in Wonderland,2010,6.4,53        ,"415,836"
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,47        ,"190,074"
Despicable Me,2010,7.6,72        ,"547,631"
The Fighter,2010,7.8,79        ,"368,801"
Iron Man 2,2010,6.9,57        ,"815,577"
Incendies,2010,8.3,80        ,"177,965"
The Expendables,2010,6.4,45        ,"346,759"
The Other Guys,2010,6.6,64        ,"269,992"
I Spit on Your Grave,2010,6.2,27        ,"85,237"
Easy A,2010,7,72        ,"391,933"
Clash of the Titans,2010,5.8,39        ,"283,592"
How to Train Your Dragon,2010,8.1,75        ,"738,348"
Insidious,2010,6.8,52        ,"310,376"
Megamind,2010,7.3,63        ,"263,319"
Tron,2010,6.8,49        ,"338,324"
True Grit,2010,7.6,80        ,"340,029"
RED,2010,7,60        ,"310,045"
Diary of a Wimpy Kid,2010,6.2,56        ,"51,856"
Hot Tub Time Machine,2010,6.4,63        ,"176,397"
The A-Team,2010,6.7,47        ,"259,937"
The King's Speech,2010,8,88        ,"680,735"
Tucker and Dale vs Evil,2010,7.5,65        ,"181,600"
Let Me In,2010,7.1,79        ,"122,624"
Ang-ma-reul bo-at-da,2010,7.8,67        ,"131,457"
Toy Story 3,2010,8.3,92        ,"833,763"
The Twilight Saga: Eclipse,2010,5,58        ,"247,342"
Flipped,2010,7.7,45        ,"90,704"
Piranha 3D,2010,5.5,53        ,"92,187"
Salt,2010,6.4,65        ,"315,973"
The Last Airbender,2010,4,20        ,"164,402"
Unstoppable,2010,6.8,69        ,"198,556"
Submarine,2010,7.3,76        ,"91,539"
She's Out of My League,2010,6.4,46        ,"138,253"
The Karate Kid,2010,6.2,61        ,"185,202"
The Tourist,2010,6,37        ,"244,543"
The Book of Eli,2010,6.8,53        ,"319,511"
Never Let Me Go,2010,7.1,69        ,"146,834"
Prince of Persia: The Sands of Time,2010,6.6,50        ,"290,927"
Frozen,2010,6.2,43        ,"74,417"
A Nightmare on Elm Street,2010,5.2,35        ,"101,877"
The Losers,2010,6.3,44        ,"102,804"
127 Hours,2010,7.6,82        ,"377,838"
Burlesque,2010,6.4,47        ,"86,776"
Monsters,2010,6.4,63        ,"93,265"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53        ,"155,493"
Machete,2010,6.6,60        ,"198,327"
Leap Year,2010,6.4,33        ,"105,063"
The Way Back,2010,7.3,66        ,"117,351"
Eat Pray Love,2010,5.8,50        ,"98,235"
Sex and the City 2,2010,4.5,27        ,"80,463"
The American,2010,6.3,61        ,"97,832"
The Next Three Days,2010,7.3,52        ,"198,054"
Winter's Bone,2010,7.1,90        ,"143,950"
Predators,2010,6.4,51        ,"232,801"
Knight and Day,2010,6.3,46        ,"197,413"
Cop Out,2010,5.5,31        ,"88,566"
Little Fockers,2010,5.5,27        ,"113,642"
Black Death,2010,6.4,71        ,"48,790"
Buried,2010,7,65        ,"161,843"
Super,2010,6.7,50        ,"80,710"
Saw 3D,2010,5.5,24        ,"99,691"
Animal Kingdom,2010,7.3,83        ,"58,157"
The Crazies,2010,6.5,56        ,"122,212"
The Bounty Hunter,2010,5.5,22        ,"128,673"
The Last Song,2010,6,33        ,"88,323"
The Ghost Writer,2010,7.2,77        ,"164,929"
Takers,2010,6.2,45        ,"63,239"
The Wolfman,2010,5.8,43        ,"107,602"
The Sorcerer's Apprentice,2010,6.1,46        ,"163,094"
How Do You Know,2010,5.4,46        ,"51,296"
Shrek Forever After,2010,6.3,58        ,"205,878"
Beyond the Black Rainbow,2010,5.9,49        ,"15,555"
Hanyo,2010,6.4,68        ,"11,296"
Due Date,2010,6.5,51        ,"344,790"
Trolljegeren,2010,6.9,61        ,"74,937"
Devil,2010,6.3,44        ,"147,732"
Womb,2010,6.3,48        ,"14,494"
Valentine's Day,2010,5.7,34        ,"120,488"
Karigurashi no Arietty,2010,7.6,80        ,"93,380"
Four Lions,2010,7.3,68        ,"78,405"
Life as We Know It,2010,6.5,39        ,"133,067"
Repo Men,2010,6.3,32        ,"107,471"
Faster,2010,6.4,44        ,"108,087"
Das letzte Schweigen,2010,7,72        ,"7,473"
Death at a Funeral,2010,5.7,51        ,"50,761"
Letters to Juliet,2010,6.5,50        ,"100,996"
Dinner for Schmucks,2010,5.9,56        ,"107,464"
The Way,2010,7.3,64        ,"33,158"
The Killer Inside Me,2010,6.1,53        ,"34,593"
Get Him to the Greek,2010,6.3,65        ,"179,557"
Date Night,2010,6.3,56        ,"163,940"
The Switch,2010,6.1,52        ,"106,820"
Centurion,2010,6.3,62        ,"83,395"
Dear John,2010,6.3,43        ,"150,097"
Biutiful,2010,7.4,58        ,"91,309"
Gulliver's Travels,2010,4.9,33        ,"70,213"
Cyrus,2010,6.3,74        ,"35,835"
Boy,2010,7.5,70        ,"26,990"
Rare Exports,2010,6.6,71        ,"29,171"
The Spy Next Door,2010,5.4,27        ,"44,561"
All Good Things,2010,6.3,57        ,"56,960"
Wall Street: Money Never Sleeps,2010,6.2,59        ,"103,439"
Cosa voglio di più,2010,6,61        ,"2,951"
Last Night,2010,6.5,50        ,"49,036"
Jonah Hex,2010,4.7,33        ,"59,471"
The Runaways,2010,6.5,65        ,"49,454"
Rabbit Hole,2010,7,76        ,"49,770"
Ramona and Beezus,2010,6.5,56        ,"19,063"
Killers,2010,5.4,21        ,"92,478"
Resident Evil: Afterlife,2010,5.8,37        ,"172,669"
The Debt,2010,6.8,65        ,"70,011"
When in Rome,2010,5.5,25        ,"62,825"
Wild Target,2010,6.7,41        ,"38,675"
You Again,2010,5.7,28        ,"52,449"
London Boulevard,2010,6.2,52        ,"48,732"
Going the Distance,2010,6.3,51        ,"58,726"
It's Kind of a Funny Story,2010,7.1,63        ,"144,038"
Charlie St. Cloud,2010,6.4,37        ,"62,750"
MacGruber,2010,5.6,43        ,"45,806"
Nanny McPhee and the Big Bang,2010,6.1,52        ,"33,387"
13,2010,6,29        ,"42,423"
Rubber,2010,5.7,59        ,"37,789"
Paranormal Activity 2,2010,5.7,53        ,"105,155"
The Ward,2010,5.5,38        ,"43,100"
The Last Exorcism,2010,5.7,63        ,"50,319"
Edge of Darkness,2010,6.6,55        ,"95,238"
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53        ,"84,036"
Yip Man 2,2010,7.5,67        ,"105,812"
My Name Is Khan,2010,7.9,50        ,"107,727"
Morning Glory,2010,6.5,57        ,"79,525"
Burke & Hare,2010,6.1,46        ,"20,573"
Beginners,2010,7.2,81        ,"92,578"
The Kids Are All Right,2010,7,86        ,"131,146"
Step Up 3D,2010,6.1,45        ,"58,483"
Tooth Fairy,2010,5,36        ,"46,994"
Frankie & Alice,2010,6.4,47        ,"5,603"
The Back-up Plan,2010,5.3,34        ,"50,506"
Secretariat,2010,7.2,61        ,"28,890"
Elektra Luxx,2010,5,50        ,"7,358"
Skyline,2010,4.5,26        ,"90,207"
The Whistleblower,2010,7.1,59        ,"34,290"
Extraordinary Measures,2010,6.4,45        ,"17,121"
Why Did I Get Married Too?,2010,4.6,43        ,"9,867"
Furry Vengeance,2010,3.8,23        ,"17,290"
Green Zone,2010,6.8,63        ,"138,056"
Jûsan-nin no shikaku,2010,7.5,84        ,"66,024"
The Warrior's Way,2010,6.2,45        ,"26,564"
Snabba cash,2010,6.7,75        ,"18,686"
Fair Game,2010,6.8,69        ,"49,499"
The Company Men,2010,6.7,69        ,"46,043"
Trust,2010,6.9,60        ,"42,772"
Another Year,2010,7.4,80        ,"29,804"
"Tomorrow, When the War Began",2010,6.1,54        ,"31,343"
I'm Still Here,2010,6.2,48        ,"22,890"
Conviction,2010,7.2,61        ,"44,650"
Hereafter,2010,6.5,56        ,"93,312"
Vampires Suck,2010,3.4,18        ,"49,386"
Greenberg,2010,6.1,76        ,"37,920"
Somewhere,2010,6.3,67        ,"45,145"
From Paris with Love,2010,6.4,42        ,"117,945"
Don't Be Afraid of the Dark,2010,5.5,56        ,"49,321"
The Conspirator,2010,6.9,55        ,"29,041"
Hatchet II,2010,5.4,49        ,"14,055"
For Colored Girls,2010,6.2,50        ,"7,859"
My Soul to Take,2010,4.7,25        ,"20,798"
Everything Must Go,2010,6.4,65        ,"51,491"
Country Strong,2010,6.3,45        ,"18,378"
Año bisiesto,2010,5.9,71        ,"2,600"
Stone,2010,5.4,58        ,"41,843"
Just Wright,2010,5.9,51        ,"14,820"
Tsumetai nettaigyo,2010,7.1,66        ,"13,309"
Tamara Drewe,2010,6.2,64        ,"22,058"
Twelve,2010,5.6,22        ,"12,341"
Yogi Bear,2010,4.6,35        ,"22,236"
You Will Meet a Tall Dark Stranger,2010,6.3,51        ,"45,930"
The Perfect Host,2010,6.7,48        ,"27,247"
Hesher,2010,6.9,45        ,"52,731"
The Tempest,2010,5.3,43        ,"7,936"
Copie conforme,2010,7.2,82        ,"24,953"
Made in Dagenham,2010,7.1,65        ,"15,489"
Meek's Cutoff,2010,6.5,85        ,"14,231"
Hævnen,2010,7.6,65        ,"40,384"
Kaboom,2010,5.7,64        ,"13,243"
Dirty Girl,2010,6.4,37        ,"10,932"
Marmaduke,2010,4.3,30        ,"15,828"
Les petits mouchoirs,2010,7.1,50        ,"25,644"
También la lluvia,2010,7.4,69        ,"13,686"
Stake Land,2010,6.4,66        ,"42,911"
Mother's Day,2010,6.2,34        ,"17,593"
Loong Boonmee raleuk chat,2010,6.7,87        ,"16,083"
Red White & Blue,2010,6.3,81        ,"5,889"
Hwanghae,2010,7.3,70        ,"21,480"
The Nutcracker in 3D,2010,4.1,18        ,"3,928"
Love Ranch,2010,5.6,37        ,"3,240"
Dog Pound,2010,7,57        ,"12,556"
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8,71        ,"83,521"
Henry's Crime,2010,5.9,49        ,"20,576"
Attenberg,2010,6.2,73        ,"6,955"
Noruwei no mori,2010,6.3,58        ,"11,895"
Vanishing on 7th Street,2010,4.9,50        ,"26,478"
Happythankyoumoreplease,2010,6.7,45        ,"30,103"
L'illusionniste,2010,7.5,82        ,"35,440"
Daydream Nation,2010,6.3,57        ,"12,771"
La rafle,2010,7,49        ,"8,928"
Lottery Ticket,2010,5,50        ,"11,196"
6 Souls,2010,6,28        ,"34,846"
The Bang Bang Club,2010,6.9,48        ,"10,955"
YellowBrickRoad,2010,4.7,52        ,"6,442"
Les amours imaginaires,2010,7.1,70        ,"29,357"
Bunraku,2010,6.1,28        ,"20,019"
Cats & Dogs: The Revenge of Kitty Galore,2010,4.3,30        ,"15,413"
Secuestrados,2010,6.4,49        ,"7,891"
The Tortured,2010,5.4,9        ,"7,890"
Beautiful Boy,2010,6.6,62        ,"6,690"
Shi,2010,7.8,87        ,"12,441"
Balada triste de trompeta,2010,6.5,70        ,"14,525"
Passion Play,2010,4.5,22        ,"8,474"
Autoreiji,2010,6.8,67        ,"13,813"
Happy Few,2010,5.6,39        ,"1,867"
Rang zi dan fei,2010,7.3,66        ,"11,644"
Ong-bak 3,2010,4.9,38        ,"14,085"
Waiting for Forever,2010,5.9,26        ,"20,038"
L'arnacoeur,2010,6.7,59        ,"26,780"
Welcome to the Rileys,2010,6.9,50        ,"24,594"
Alpha and Omega,2010,5.1,36        ,"14,531"
"Marti, dupa Craciun",2010,6.9,81        ,"4,719"
Don't Go in the Woods,2010,2.7,29        ,"1,087"
Barney's Version,2010,7.3,67        ,"25,293"
Crazy on the Outside,2010,5.5,21        ,"6,433"
The Myth of the American Sleepover,2010,6.3,67        ,"4,342"
Burning Palms,2010,5.3,33        ,"2,953"
Virginia,2010,5.4,33        ,"2,254"
Klovn: The Movie,2010,7.1,62        ,"11,206"
Dylan Dog: Dead of Night,2010,5.1,31        ,"15,244"
Casino Jack,2010,6.2,51        ,"17,336"
Sex & Drugs & Rock & Roll,2010,6.5,57        ,"4,297"
High School,2010,5.7,31        ,"7,669"
The Romantics,2010,5,43        ,"12,259"
The Virginity Hit,2010,4.5,40        ,"3,929"
Jing wu feng yun: Chen Zhen,2010,6.2,49        ,"10,626"
It's a Wonderful Afterlife,2010,5.4,40        ,"1,608"
Tiny Furniture,2010,6.2,72        ,"14,525"
Oranges and Sunshine,2010,7.1,60        ,"5,655"
Des hommes et des dieux,2010,7.2,86        ,"15,616"
Elle s'appelait Sarah,2010,7.5,59        ,"17,299"
Our Family Wedding,2010,5,38        ,"7,272"
Jin yi wei,2010,6.3,50        ,"8,158"
Shanghai,2010,6.4,36        ,"9,834"
A Little Help,2010,5.6,54        ,"3,433"
The Freebie,2010,5.1,54        ,"1,733"
Une vie de chat,2010,6.9,63        ,"11,370"
Chico & Rita,2010,7.2,76        ,"9,262"
R,2010,7.1,67        ,"4,948"
The Tree,2010,6.5,58        ,"4,603"
Notre jour viendra,2010,6.1,40        ,"4,052"
Wrecked,2010,5.3,61        ,"16,396"
The Big Bang,2010,5.4,25        ,"7,177"
Brighton Rock,2010,5.7,57        ,"6,572"
Mr. Nice,2010,6.3,60        ,"7,664"
Dhobi Ghat,2010,7,55        ,"13,328"
En ganske snill mann,2010,6.9,68        ,"7,026"
Ceremony,2010,5.4,40        ,"4,336"
Howl,2010,6.7,63        ,"13,092"
Gainsbourg (Vie héroïque),2010,6.9,58        ,"10,032"
Meet Monica Velour,2010,5.8,51        ,"2,391"
À bout portant,2010,6.8,75        ,"14,166"
Legendary,2010,6.1,39        ,"5,204"
Les émotifs anonymes,2010,6.8,69        ,"11,525"
Red Hill,2010,6.3,62        ,"8,829"
Carancho,2010,6.8,66        ,"8,222"
The Infidel,2010,6.4,57        ,"6,714"
L'assaut,2010,6.1,55        ,"3,890"
Stranger Things,2010,6.8,85        ,89
Die Fremde,2010,7.5,65        ,"5,429"
The Extra Man,2010,5.8,56        ,"5,182"
Crime d'amour,2010,6.5,63        ,"5,448"
Su Qi-er,2010,6.4,62        ,"8,922"
Speed-Dating,2010,2.8,30        ,399
La prima cosa bella,2010,7.1,62        ,"5,275"
Le quattro volte,2010,7.2,80        ,"4,072"
A Horrible Way to Die,2010,5.2,52        ,"3,725"
Archipelago,2010,6.3,82        ,"2,844"
Peepli [Live],2010,7.4,69        ,"12,421"
A Marine Story,2010,6,51        ,"2,353"
Le nom des gens,2010,7.1,62        ,"7,989"
Please Give,2010,6.6,78        ,"11,371"
Somos lo que hay,2010,5.7,65        ,"4,924"
La princesse de Montpensier,2010,6.5,78        ,"4,056"
Jack Goes Boating,2010,6.3,64        ,"8,514"
Good Neighbours,2010,5.8,60        ,"5,641"
Kites,2010,6,62        ,"13,303"
Holy Rollers,2010,5.9,51        ,"5,153"
Les femmes du 6e étage,2010,7.1,52        ,"10,368"
Beware the Gonzo,2010,6.2,36        ,"1,754"
Sound of Noise,2010,7.2,72        ,"9,578"
Barry Munday,2010,5.8,28        ,"4,356"
Father of Invention,2010,5.7,36        ,"8,693"
Post Mortem,2010,6.5,72        ,"2,408"
Inhale,2010,6.5,39        ,"6,542"
Sykt lykkelig,2010,6.5,60        ,"3,140"
3,2010,6.7,55        ,"5,243"
Potiche,2010,6.4,68        ,"10,925"
Miral,2010,6.2,45        ,"3,464"
Parked,2010,6.7,47        ,"2,658"
Night Catches Us,2010,6.2,65        ,"1,727"
Skateland,2010,5.7,51        ,"2,230"
Knucklehead,2010,5.1,24        ,"2,545"
Bal,2010,7.1,70        ,"7,193"
Spork,2010,6.7,54        ,"1,044"
La tête en friche,2010,7.2,59        ,"7,345"
Peep World,2010,5.5,27        ,"3,769"
An Invisible Sign,2010,5.3,23        ,"4,264"
Monogamy,2010,5,47        ,855
Leonie,2010,6.1,40        ,518
Film socialisme,2010,5.6,64        ,"2,782"
Der Räuber,2010,6.7,65        ,"4,522"
BearCity,2010,5.9,38        ,"1,478"
L'homme qui voulait vivre sa vie,2010,6.6,71        ,"3,601"
Goethe!,2010,6.6,55        ,"2,969"
Cold Weather,2010,6.1,64        ,"2,293"
The Grace Card,2010,6.2,43        ,"3,214"
The Killing Jar,2010,5.8,14        ,"2,764"
Sympathy for Delicious,2010,5.6,44        ,"2,007"
The Dead,2010,5.7,59        ,"9,369"
Every Day,2010,5.7,48        ,"3,519"
Road to Nowhere,2010,5.4,59        ,"1,795"
Snowmen,2010,6,39        ,721
Ways to Live Forever,2010,6.9,59        ,"1,129"
Kak ya provyol etim letom,2010,6.9,74        ,"6,807"
Golf in the Kingdom,2010,5.4,13        ,114
Standing Ovation,2010,3,22        ,812
Zhao shi gu er,2010,6.2,57        ,"2,396"
Radio Free Albemuth,2010,5.6,35        ,"1,824"
Aurora,2010,6.6,63        ,"1,969"
Amigo,2010,6.4,63        ,629
"Eu cand vreau sa fluier, fluier",2010,7,64        ,"6,380"
Janie Jones,2010,6.6,52        ,"2,324"
Habermann,2010,7,46        ,"1,215"
Brotherhood,2010,6.3,52        ,"4,110"
Letters to God,2010,6.1,31        ,"5,048"
In My Sleep,2010,5.5,33        ,"2,094"
As Good as Dead,2010,5.1,34        ,"1,636"
Di Renjie zhi Tongtian diguo,2010,6.6,75        ,"11,397"
Gabi on the Roof in July,2010,5.7,58        ,424
Vincent will Meer,2010,7,39        ,"5,809"
Small Town Murder Songs,2010,5.9,66        ,"2,962"
The Chameleon,2010,5.5,41        ,"1,977"
Blood Done Sign My Name,2010,6.5,49        ,593
First Night,2010,5.3,29        ,405
Hors la loi,2010,6.6,59        ,"3,957"
The First Grader,2010,7.4,56        ,"4,688"
White Irish Drinkers,2010,6.7,51        ,"1,864"
Schaste moe,2010,6.8,81        ,"2,521"
Cirkus Columbia,2010,7.2,57        ,"2,592"
Kyatapirâ,2010,6.7,75        ,"1,142"
Mooz-Lum,2010,6.6,48        ,"1,064"
Once I Was,2010,7.3,69        ,824
Griff the Invisible,2010,6,49        ,"4,939"
Five Star Day,2010,5.7,41        ,820
Anton Chekhov's The Duel,2010,6.7,75        ,698
Shit Year,2010,5.5,50        ,335
Twelve Thirty,2010,4.7,50        ,254
"Nannerl, la soeur de Mozart",2010,6.4,71        ,"1,556"
Multiple Sarcasms,2010,4.7,35        ,694
Chuen sing yit luen - yit lat lat,2010,6.1,52        ,909
Redemption Road,2010,5.7,44        ,566
3 Backyards,2010,5.1,69        ,736
Vallanzasca - Gli angeli del male,2010,6.8,48        ,"3,315"
Viva Riva!,2010,6.1,65        ,"1,189"
The Human Resources Manager,2010,6.6,62        ,"1,428"
O Estranho Caso de Angélica,2010,6.3,75        ,"2,015"
Ok-hui-ui yeonghwa,2010,6.8,78        ,"1,200"
Happiness Runs,2010,4.9,24        ,693
Norman,2010,6.4,60        ,"1,601"
Mammuth,2010,6.1,47        ,"3,722"
I Will Follow,2010,6.1,71        ,901
Morning,2010,5.7,48        ,195
The High Cost of Living,2010,6.7,49        ,"2,142"
My Brothers,2010,6.6,51        ,221
Une bouteille à la mer,2010,7.2,58        ,"1,096"
Douchebag,2010,6,56        ,175
The Dry Land,2010,5.5,47        ,535
Brother's Justice,2010,4.4,22        ,542
Lovers of Hate,2010,6.1,72        ,213
The Best and the Brightest,2010,4.8,26        ,"1,469"
Le secret de Chanda,2010,7.1,65        ,"1,390"
Un homme qui crie,2010,6.7,72        ,"1,736"
Queen of the Lot,2010,4.8,42        ,158
Hello Lonesome,2010,6.5,58        ,306
Ovsyanki,2010,6.6,76        ,"2,361"
Chuzhaya,2010,6.4,21        ,987
Putty Hill,2010,5.9,78        ,749
Sans queue ni tête,2010,5.6,49        ,619
Reuniting the Rubins,2010,5.2,31        ,426
"Lebanon, Pa.",2010,6.2,47        ,577
The Imperialists Are Still Alive!,2010,5.9,63        ,301
Illégal,2010,6.8,54        ,923
Musanilgi,2010,6.8,56        ,197
The Taqwacores,2010,5.8,42        ,575
Helena from the Wedding,2010,4.6,49        ,398
Girlfriend,2010,6.3,42        ,702
La petite chambre,2010,6.9,69        ,253
Littlerock,2010,6.1,66        ,578
Dao jiàn xiào,2010,5.6,25        ,686
The Battle of Pussy Willow Creek,2010,6.9,52        ,66
Immigration Tango,2010,3.9,28        ,361
Shekarchi,2010,6.2,76        ,"1,547"
Harvest,2010,5.2,61        ,184
Kalamity,2010,4.5,28        ,433
Festival of Lights,2010,7.4,34        ,39
The Black Tulip,2010,7.2,37        ,111
Gatos Viejos,2010,6.8,65        ,532
Snowman's Land,2010,6,52        ,722
Some Days Are Better Than Others,2010,5.8,53        ,260
Seducing Charlie Barker,2010,6.4,48        ,104
Ghetto Physics,2010,5.9,42        ,72
Cherkess,2010,6.7,27        ,127
Romeo and Juliet in Yiddish,2010,6.8,56        ,60
Octubre,2010,6.4,69        ,549
Two Gates of Sleep,2010,6.1,34        ,260
Rompecabezas,2010,6.6,66        ,672
Todos vós sodes capitáns,2010,6,57        ,162
Daylight,2010,5.1,72        ,233
Cost of a Soul,2010,5.1,30        ,198
Audrey the Trainwreck,2010,7.5,59        ,87
You Are Here,2010,5.9,63        ,257
The Happy Poet,2010,6.1,49        ,272
Jean Gentil,2010,6.6,64        ,215
Dog Sweat,2010,6.9,50        ,128
"Fanny, Annie & Danny",2010,7.6,56        ,113
Phillip the Fossil,2010,6.9,43        ,46
Prince of Swine,2010,5.8,6        ,38
"Crazy, Stupid, Love.",2011,7.4,68        ,"521,358"
Drive,2011,7.8,78        ,"638,638"
Captain America: The First Avenger,2011,6.9,66        ,"843,184"
Harry Potter and the Deathly Hallows - Part 2,2011,8.1,85        ,"871,572"
Thor,2011,7,57        ,"847,915"
War Horse,2011,7.2,72        ,"158,376"
The Intouchables,2011,8.5,57        ,"854,152"
Moneyball,2011,7.6,87        ,"423,851"
Margin Call,2011,7.1,76        ,"132,781"
Just Go with It,2011,6.4,33        ,"245,924"
Warrior,2011,8.2,71        ,"472,537"
The Help,2011,8.1,62        ,"459,350"
The Cabin in the Woods,2011,7,72        ,"419,220"
The Girl with the Dragon Tattoo,2011,7.8,71        ,"463,959"
Limitless,2011,7.4,59        ,"574,401"
In Time,2011,6.7,53        ,"412,555"
Friends with Benefits,2011,6.5,63        ,"369,996"
Immortals,2011,6,46        ,"169,544"
Shame,2011,7.2,72        ,"196,856"
No Strings Attached,2011,6.2,50        ,"231,630"
Bridesmaids,2011,6.8,75        ,"293,176"
Sucker Punch,2011,6,33        ,"243,750"
Green Lantern,2011,5.5,39        ,"286,023"
Midnight in Paris,2011,7.7,81        ,"424,724"
X: First Class,2011,7.7,65        ,"693,026"
Sherlock Holmes: A Game of Shadows,2011,7.4,48        ,"455,692"
Melancholia,2011,7.1,80        ,"183,920"
Pirates of the Caribbean: On Stranger Tides,2011,6.6,45        ,"528,602"
La piel que habito,2011,7.6,70        ,"153,852"
The Change-Up,2011,6.3,39        ,"184,092"
The Lincoln Lawyer,2011,7.3,63        ,"239,831"
Hugo,2011,7.5,83        ,"323,909"
Source Code,2011,7.5,74        ,"521,234"
Conan the Barbarian,2011,5.1,36        ,"99,682"
Horrible Bosses,2011,6.9,57        ,"449,947"
I Am Number Four,2011,6.1,36        ,"238,790"
Rio,2011,6.9,63        ,"228,927"
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45        ,"241,837"
One Day,2011,7,48        ,"154,132"
Transformers: Dark of the Moon,2011,6.2,42        ,"409,616"
Arthur Christmas,2011,7.1,69        ,"59,573"
Real Steel,2011,7,56        ,"330,346"
Mission: Impossible - Ghost Protocol,2011,7.4,73        ,"491,021"
Fast Five,2011,7.3,66        ,"382,091"
Sleeping Beauty,2011,5.3,57        ,"32,987"
The Guard,2011,7.3,78        ,"88,731"
The Three Musketeers,2011,5.7,35        ,"108,507"
Scream 4,2011,6.2,52        ,"150,988"
Contagion,2011,6.8,70        ,"304,386"
The Hangover Part II,2011,6.4,44        ,"501,005"
Rango,2011,7.2,75        ,"266,811"
Puss in Boots,2011,6.6,65        ,"160,327"
We Need to Talk About Kevin,2011,7.5,68        ,"156,066"
Bad Teacher,2011,5.6,47        ,"204,315"
Super 8,2011,7,72        ,"355,216"
Fright Night,2011,6.4,64        ,"108,038"
Rise of the Planet of the Apes,2011,7.6,68        ,"529,425"
Cars 2,2011,6.2,57        ,"191,409"
Red State,2011,6.1,50        ,"65,002"
The Tree of Life,2011,6.8,85        ,"177,862"
Tinker Tailor Soldier Spy,2011,7,85        ,"202,697"
The Descendants,2011,7.3,84        ,"242,884"
Jodaeiye Nader az Simin,2011,8.3,95        ,"245,464"
We Bought a Zoo,2011,7.1,58        ,"144,561"
Serbuan maut,2011,7.6,73        ,"205,595"
Detachment,2011,7.7,52        ,"86,807"
The Hunter,2011,6.7,63        ,"39,531"
Paul,2011,6.9,57        ,"253,945"
The Adjustment Bureau,2011,7,60        ,"258,942"
Hanna,2011,6.8,65        ,"199,909"
Martha Marcy May Marlene,2011,6.8,75        ,"53,636"
You're Next,2011,6.6,66        ,"100,729"
The Thing,2011,6.2,49        ,"133,796"
50/50,2011,7.6,72        ,"331,312"
Our Idiot Brother,2011,6.4,60        ,"88,373"
Hall Pass,2011,5.9,45        ,"126,625"
Something Borrowed,2011,5.8,36        ,"62,752"
The Adventures of Tintin,2011,7.3,68        ,"232,001"
Colombiana,2011,6.4,45        ,"102,091"
Now & Later,2011,5.1,24        ,"1,931"
Killer Joe,2011,6.7,62        ,"79,102"
The Inbetweeners Movie,2011,6.7,44        ,"83,333"
Machine Gun Preacher,2011,6.7,43        ,"66,572"
The Ides of March,2011,7.1,67        ,"223,693"
Jane Eyre,2011,7.3,76        ,"88,751"
Monte Carlo,2011,5.8,43        ,"45,548"
Drive Angry,2011,5.4,44        ,"100,062"
Footloose,2011,5.8,58        ,"50,478"
A Dangerous Method,2011,6.4,76        ,"104,311"
Killer Elite,2011,6.4,44        ,"131,138"
The Human Centipede II (Full Sequence),2011,3.8,17        ,"39,442"
Kung Fu Panda 2,2011,7.2,67        ,"286,112"
The Grey,2011,6.8,64        ,"253,775"
The Mechanic,2011,6.5,49        ,"161,960"
A Good Old Fashioned Orgy,2011,6.1,44        ,"22,954"
Jack and Jill,2011,3.3,23        ,"85,359"
Red Riding Hood,2011,5.4,29        ,"112,910"
Unknown,2011,6.8,56        ,"262,488"
The Artist,2011,7.9,89        ,"241,950"
The Awakening,2011,6.4,53        ,"67,071"
Tower Heist,2011,6.2,59        ,"145,186"
Ghost Rider: Spirit of Vengeance,2011,4.3,34        ,"120,407"
Take Shelter,2011,7.3,85        ,"101,308"
Final Destination 5,2011,5.9,50        ,"117,594"
Diary of a Wimpy Kid: Rodrick Rules,2011,6.5,51        ,"32,102"
The Muppets,2011,7.1,75        ,"93,093"
Cowboys & Aliens,2011,6,50        ,"222,296"
30 Minutes or Less,2011,6.1,49        ,"101,874"
The Smurfs,2011,5.4,30        ,"91,162"
Battle: Los Angeles,2011,5.7,37        ,"181,015"
My Week with Marilyn,2011,6.9,65        ,"87,609"
Alvin and the Chipmunks: Chipwrecked,2011,4.3,24        ,"35,980"
Soul Surfer,2011,7,53        ,"50,174"
Albert Nobbs,2011,6.7,57        ,"24,800"
A Very Harold & Kumar 3D Christmas,2011,6.2,61        ,"70,128"
The Best Exotic Marigold Hotel,2011,7.2,62        ,"95,993"
What's Your Number?,2011,6,35        ,"81,846"
